Comuna,Año,Casos confirmados,Porcentaje promedio de cobertura de casos sospechosos,Total de casos positivos según el test PCR,Vacunados 1ra dosis,Vacunados 2da dosis,Vacunados dosis de refuerzo,Vacunados 4ta dosis,Vacunados unica dosis,Fallecidos por covid-19,Total fallecidos,Cant de transacciones BIP en 2020
Isla De Maipo,2022,900883.0,97.01794871794873,401.9,1580.0,2468.0,10421.0,25240.0,0.0,24.0,5353.0,
Isla De Maipo,2023,22690.0,,,13.0,3.0,25.0,98.0,0.0,,350.0,
La Cisterna,2020,203745.0,90.1421052631579,99.1,0.0,0.0,0.0,0.0,0.0,208.0,2520.0,4298804.0
La Cisterna,2021,892012.0,88.61538461538461,447.3,79100.0,75572.0,53550.0,0.0,2435.0,207.0,12053.0,
La Cisterna,2022,1997682.0,91.57435897435896,570.3,3855.0,5447.0,20393.0,56231.0,0.0,90.0,21043.0,
La Cisterna,2023,49608.0,,,21.0,20.0,60.0,180.0,0.0,,1292.0,
La Florida,2020,851078.0,86.48421052631579,82.0,235.0,0.0,0.0,0.0,0.0,733.0,10053.0,5380051.0
La Florida,2021,3712626.0,92.5096153846154,486.2,374355.0,357746.0,253974.0,0.0,8848.0,641.0,45475.0,
La Florida,2022,8521008.0,92.7,685.5,15161.0,25198.0,99700.0,271971.0,0.0,284.0,74509.0,
La Florida,2023,216278.0,,,117.0,82.0,368.0,1259.0,0.0,,4600.0,
La Granja,2020,428519.0,92.34210526315788,94.8,0.0,0.0,0.0,0.0,0.0,313.0,4166.0,686554.0
La Granja,2021,1507634.0,93.38846153846154,487.9,117665.0,111834.0,74451.0,0.0,3886.0,247.0,17379.0,
La Granja,2022,2681062.0,94.03589743589744,592.4,5486.0,8247.0,34610.0,78064.0,0.0,86.0,26891.0,
La Granja,2023,62133.0,,,25.0,26.0,80.0,232.0,0.0,,1594.0,
La Pintana,2020,628278.0,92.8315789473684,85.2,0.0,0.0,0.0,0.0,0.0,503.0,6460.0,667068.0
La Pintana,2021,2311741.0,90.26346153846154,518.1,119088.0,111765.0,72070.0,0.0,7683.0,330.0,27036.0,
La Pintana,2022,3745991.0,89.75641025641026,529.3,6664.0,10073.0,39615.0,78816.0,0.0,68.0,40642.0,
La Pintana,2023,81435.0,,,33.0,11.0,84.0,245.0,0.0,,2346.0,
La Reina,2020,141841.0,88.27368421052631,62.6,300.0,0.0,0.0,0.0,0.0,137.0,1779.0,1671450.0
La Reina,2021,635915.0,89.52307692307691,293.2,142352.0,138119.0,108557.0,0.0,2443.0,132.0,7359.0,
La Reina,2022,2015970.0,92.99230769230768,613.6,3130.0,6179.0,28439.0,114192.0,0.0,78.0,12862.0,
La Reina,2023,55866.0,,,79.0,43.0,129.0,520.0,0.0,,854.0,
Lampa,2020,216600.0,88.16842105263159,100.9,0.0,0.0,0.0,0.0,0.0,113.0,1125.0,
Lampa,2021,923247.0,88.97307692307693,504.9,88917.0,81759.0,51167.0,0.0,3153.0,166.0,7037.0,
Lampa,2022,2161794.0,91.8923076923077,608.3,5703.0,9379.0,29356.0,55527.0,0.0,50.0,12366.0,
Lampa,2023,51954.0,,,34.0,36.0,93.0,279.0,0.0,,750.0,
Las Condes,2020,389526.0,84.15263157894738,60.6,240.0,0.0,0.0,0.0,0.0,480.0,6350.0,7538233.0
Las Condes,2021,1731797.0,89.47692307692309,242.8,344164.0,334344.0,268218.0,0.0,5841.0,319.0,25653.0,
Las Condes,2022,6258565.0,92.8948717948718,526.2,6670.0,13844.0,62066.0,277295.0,0.0,179.0,40899.0,
Las Condes,2023,171617.0,,,130.0,82.0,317.0,1286.0,0.0,,2618.0,
Lo Barnechea,2020,211782.0,90.73157894736842,52.0,0.0,0.0,0.0,0.0,0.0,113.0,1529.0,652974.0
Lo Barnechea,2021,864606.0,92.76538461538462,224.4,132001.0,126504.0,95200.0,0.0,3319.0,87.0,6286.0,
Lo Barnechea,2022,2358534.0,94.97692307692309,447.4,3983.0,7685.0,29641.0,99704.0,0.0,39.0,10466.0,
Lo Barnechea,2023,59275.0,,,124.0,96.0,149.0,609.0,0.0,,664.0,
Lo Espejo,2020,265049.0,93.1421052631579,97.8,0.0,0.0,0.0,0.0,0.0,271.0,3972.0,747245.0
Lo Espejo,2021,983972.0,91.48269230769232,439.9,83173.0,78246.0,50919.0,0.0,3201.0,235.0,17316.0,
Lo Espejo,2022,1912778.0,94.92564102564104,526.2,4396.0,6407.0,24388.0,53459.0,0.0,84.0,25759.0,
Lo Espejo,2023,45813.0,,,27.0,15.0,62.0,158.0,0.0,,1514.0,
Lo Prado,2020,300299.0,94.0,67.0,0.0,0.0,0.0,0.0,0.0,217.0,2978.0,5048928.0
Lo Prado,2021,1222043.0,92.04615384615384,488.9,106005.0,100167.0,65693.0,0.0,3454.0,200.0,13132.0,
Lo Prado,2022,2341579.0,92.55384615384617,580.9,5312.0,8313.0,32028.0,70495.0,0.0,71.0,22453.0,
Lo Prado,2023,54783.0,,,48.0,37.0,93.0,276.0,0.0,,1398.0,
Macul,2020,307312.0,91.6421052631579,71.2,0.0,0.0,0.0,0.0,0.0,210.0,3262.0,1376346.0
Macul,2021,1221097.0,88.60769230769232,334.3,113168.0,108603.0,80389.0,0.0,3828.0,190.0,13260.0,
Macul,2022,2855913.0,88.45384615384614,634.1,3992.0,6634.0,27356.0,83717.0,0.0,91.0,21366.0,
Macul,2023,70759.0,,,42.0,28.0,100.0,313.0,0.0,,1326.0,
Maipú,2020,919609.0,92.02631578947368,76.5,165.0,0.0,0.0,0.0,0.0,949.0,8869.0,4424079.0
Maipú,2021,4125886.0,84.97450980392156,327.1,379520.0,366020.0,272476.0,0.0,13077.0,832.0,45221.0,
Maipú,2022,10282376.0,91.77692307692308,601.5,12750.0,19894.0,90967.0,289014.0,4.0,255.0,75296.0,
Maipú,2023,262898.0,,,120.0,102.0,298.0,1087.0,0.0,,4608.0,
Maria Pinto,2020,22100.0,95.4578947368421,28.3,0.0,0.0,0.0,0.0,0.0,12.0,129.0,
Maria Pinto,2021,131655.0,82.90980392156862,221.0,13662.0,12897.0,8778.0,0.0,721.0,16.0,717.0,
Maria Pinto,2022,356650.0,97.72820512820512,253.9,749.0,1159.0,4113.0,9075.0,0.0,6.0,1543.0,
Maria Pinto,2023,9209.0,,,6.0,3.0,12.0,48.0,0.0,,104.0,
Melipilla,2020,240812.0,91.0,67.2,0.0,0.0,0.0,0.0,0.0,176.0,2357.0,
Melipilla,2021,1081159.0,92.46153846153848,323.7,123596.0,116289.0,80047.0,0.0,5031.0,247.0,12719.0,
Melipilla,2022,2499652.0,93.1,625.0,5522.0,8908.0,33385.0,83330.0,0.0,83.0,22430.0,
Melipilla,2023,60150.0,,,48.0,33.0,99.0,319.0,0.0,,1372.0,
Padre Hurtado,2020,130988.0,92.0157894736842,92.6,0.0,0.0,0.0,0.0,0.0,96.0,1163.0,
Padre Hurtado,2021,689334.0,89.8423076923077,480.2,73735.0,70104.0,45369.0,0.0,1995.0,94.0,5230.0,
Padre Hurtado,2022,1650225.0,91.95128205128204,641.3,2999.0,5229.0,23308.0,50105.0,0.0,42.0,9075.0,
Padre Hurtado,2023,40710.0,,,32.0,23.0,71.0,291.0,0.0,,576.0,
Paine,2020,125703.0,91.57368421052632,108.5,0.0,0.0,0.0,0.0,0.0,89.0,1085.0,
Paine,2021,642272.0,83.225,367.8,75310.0,71277.0,47532.0,0.0,2498.0,81.0,5861.0,
Paine,2022,1562928.0,91.07435897435896,618.6,4082.0,6132.0,22801.0,50897.0,0.0,37.0,10596.0,
Paine,2023,38011.0,,,43.0,29.0,95.0,278.0,0.0,,684.0,
Pedro Aguirre Cerda,2020,265572.0,91.41052631578948,90.4,0.0,0.0,0.0,0.0,0.0,318.0,4241.0,1466746.0
Pedro Aguirre Cerda,2021,1109210.0,90.475,484.9,82545.0,78227.0,53773.0,0.0,2804.0,253.0,18302.0,
Pedro Aguirre Cerda,2022,2312795.0,94.5,571.1,4223.0,6010.0,22433.0,56540.0,0.0,73.0,28311.0,
Pedro Aguirre Cerda,2023,56206.0,,,14.0,19.0,60.0,166.0,0.0,,1730.0,
Penaflor,2020,175416.0,93.72105263157896,63.7,0.0,0.0,0.0,0.0,0.0,177.0,2547.0,
Penaflor,2021,795177.0,85.19215686274511,338.5,80750.0,76611.0,52720.0,0.0,2888.0,155.0,11371.0,
Penaflor,2022,2020892.0,93.6102564102564,559.1,3400.0,5667.0,23329.0,56333.0,0.0,56.0,18353.0,
Penaflor,2023,52124.0,,,26.0,30.0,77.0,279.0,0.0,,1128.0,
Peñalolén,2020,713002.0,92.26842105263158,76.7,20.0,0.0,0.0,0.0,0.0,475.0,6284.0,2333892.0
Peñalolén,2021,2779274.0,88.89803921568628,468.1,196462.0,187982.0,129366.0,0.0,5306.0,426.0,26542.0,
Peñalolén,2022,6274792.0,94.06923076923076,618.7,7747.0,12603.0,54480.0,139346.0,0.0,139.0,43241.0,
Peñalolén,2023,156168.0,,,90.0,61.0,226.0,836.0,0.0,,2646.0,
Pirque,2020,66813.0,93.73157894736842,57.7,0.0,0.0,0.0,0.0,0.0,45.0,566.0,
