Comuna,Año,Población
Vitacura,2024,86420
Puente Alto,2017,562136
Puente Alto,2018,562986
Puente Alto,2019,563836
Puente Alto,2020,564686
Puente Alto,2021,565536
Puente Alto,2022,566386
Puente Alto,2023,567236
Puente Alto,2024,568086
Pirque,2017,26217
Pirque,2018,26623
Pirque,2019,27029
Pirque,2020,27435
Pirque,2021,27842
Pirque,2022,28248
Pirque,2023,28654
Pirque,2024,29060
Colina,2017,143674
Colina,2018,147905
Colina,2019,152137
Colina,2020,156368
Colina,2021,160599
Colina,2022,164830
Colina,2023,169062
Colina,2024,173293
Lampa,2017,100785
Lampa,2018,107124
Lampa,2019,113464
Lampa,2020,119803
Lampa,2021,126142
Lampa,2022,132481
Lampa,2023,138821
Lampa,2024,145160
Tiltil,2017,18769
Tiltil,2018,18908
Tiltil,2019,19047
Tiltil,2020,19186
Tiltil,2021,19325
Tiltil,2022,19464
Tiltil,2023,19603
Tiltil,2024,19742
San Bernardo,2017,298699
San Bernardo,2018,299795
San Bernardo,2019,300891
San Bernardo,2020,301987
San Bernardo,2021,303083
San Bernardo,2022,304179
San Bernardo,2023,305275
San Bernardo,2024,306371
Buin,2017,95653
Buin,2018,98698
Buin,2019,101743
Buin,2020,104788
Buin,2021,107834
Buin,2022,110879
Buin,2023,113924
Buin,2024,116969
Calera De Tango,2017,25230
Calera De Tango,2018,25267
Calera De Tango,2019,25305
Calera De Tango,2020,25342
Calera De Tango,2021,25379
Calera De Tango,2022,25416
Calera De Tango,2023,25454
Calera De Tango,2024,25491
Paine,2017,71872
Paine,2018,72866
Paine,2019,73859
Paine,2020,74853
Paine,2021,75847
Paine,2022,76841
Paine,2023,77834
Paine,2024,78828
Melipilla,2017,122274
Melipilla,2018,124281
Melipilla,2019,126289
Melipilla,2020,128296
Melipilla,2021,130303
Melipilla,2022,132310
Melipilla,2023,134318
Melipilla,2024,136325
Alhué,2017,6007
Alhué,2018,6259
Alhué,2019,6510
Alhué,2020,6762
Alhué,2021,7013
Alhué,2022,7265
Alhué,2023,7516
Alhué,2024,7768
Curacaví,2017,32068
Curacaví,2018,32510
Curacaví,2019,32953
Curacaví,2020,33395
Curacaví,2021,33838
Curacaví,2022,34280
Curacaví,2023,34723
Curacaví,2024,35165
María Pinto,2017,13341
María Pinto,2018,13628
María Pinto,2019,13916
María Pinto,2020,14203
María Pinto,2021,14490
María Pinto,2022,14777
María Pinto,2023,15065
María Pinto,2024,15352
San Pedro,2017,10156
San Pedro,2018,10292
San Pedro,2019,10428
San Pedro,2020,10564
San Pedro,2021,10700
San Pedro,2022,10836
San Pedro,2023,10972
San Pedro,2024,11108
Talagante,2017,73234
Talagante,2018,73690
Talagante,2019,74147
Talagante,2020,74603
Talagante,2021,75060
Talagante,2022,75516
Talagante,2023,75973
Talagante,2024,76429
El Monte,2017,35552
El Monte,2018,35830
El Monte,2019,36108
El Monte,2020,36386
El Monte,2021,36663
El Monte,2022,36941
El Monte,2023,37219
El Monte,2024,37497
Padre Hurtado,2017,62601
Padre Hurtado,2018,65264
Padre Hurtado,2019,67927
Padre Hurtado,2020,70590
Padre Hurtado,2021,73254
Padre Hurtado,2022,75917
Padre Hurtado,2023,78580
Padre Hurtado,2024,81243
Peñaflor,2017,89419
Peñaflor,2018,90131
Peñaflor,2019,90843
Peñaflor,2020,91555
Peñaflor,2021,92266
Peñaflor,2022,92978
Peñaflor,2023,93690
Peñaflor,2024,94402
