Comuna,Año,Total fallecidos
Tiltil,2020.0,259.0
Tiltil,2021.0,1572.0
Tiltil,2022.0,3268.0
Tiltil,2023.0,208.0
Vitacura,2020.0,1195.0
Vitacura,2021.0,4974.0
Vitacura,2022.0,9148.0
Vitacura,2023.0,622.0
Ñuñoa,2020.0,5338.0
Ñuñoa,2021.0,22578.0
Ñuñoa,2022.0,35753.0
Ñuñoa,2023.0,2280.0
