Comuna,Año,Vacunados 1ra dosis,Vacunados 2da dosis,Vacunados dosis de refuerzo,Vacunados 4ta dosis,Vacunados unica dosis
Maipú,2020,165.0,0.0,0.0,0.0,0.0
Maipú,2021,379520.0,366020.0,272476.0,0.0,13077.0
Maipú,2022,12750.0,19894.0,90967.0,289014.0,4.0
Maipú,2023,120.0,102.0,298.0,1087.0,0.0
Maria Pinto,2020,0.0,0.0,0.0,0.0,0.0
Maria Pinto,2021,13662.0,12897.0,8778.0,0.0,721.0
Maria Pinto,2022,749.0,1159.0,4113.0,9075.0,0.0
Maria Pinto,2023,6.0,3.0,12.0,48.0,0.0
Melipilla,2020,0.0,0.0,0.0,0.0,0.0
Melipilla,2021,123596.0,116289.0,80047.0,0.0,5031.0
Melipilla,2022,5522.0,8908.0,33385.0,83330.0,0.0
Melipilla,2023,48.0,33.0,99.0,319.0,0.0
Padre Hurtado,2020,0.0,0.0,0.0,0.0,0.0
Padre Hurtado,2021,73735.0,70104.0,45369.0,0.0,1995.0
Padre Hurtado,2022,2999.0,5229.0,23308.0,50105.0,0.0
Padre Hurtado,2023,32.0,23.0,71.0,291.0,0.0
Paine,2020,0.0,0.0,0.0,0.0,0.0
Paine,2021,75310.0,71277.0,47532.0,0.0,2498.0
Paine,2022,4082.0,6132.0,22801.0,50897.0,0.0
Paine,2023,43.0,29.0,95.0,278.0,0.0
Pedro Aguirre Cerda,2020,0.0,0.0,0.0,0.0,0.0
Pedro Aguirre Cerda,2021,82545.0,78227.0,53773.0,0.0,2804.0
Pedro Aguirre Cerda,2022,4223.0,6010.0,22433.0,56540.0,0.0
Pedro Aguirre Cerda,2023,14.0,19.0,60.0,166.0,0.0
Penaflor,2020,0.0,0.0,0.0,0.0,0.0
Penaflor,2021,80750.0,76611.0,52720.0,0.0,2888.0
Penaflor,2022,3400.0,5667.0,23329.0,56333.0,0.0
Penaflor,2023,26.0,30.0,77.0,279.0,0.0
Peñalolén,2020,20.0,0.0,0.0,0.0,0.0
Peñalolén,2021,196462.0,187982.0,129366.0,0.0,5306.0
Peñalolén,2022,7747.0,12603.0,54480.0,139346.0,0.0
Peñalolén,2023,90.0,61.0,226.0,836.0,0.0
Pirque,2020,0.0,0.0,0.0,0.0,0.0
Pirque,2021,28532.0,27267.0,19914.0,0.0,1495.0
Pirque,2022,1104.0,1919.0,8153.0,21217.0,0.0
Pirque,2023,5.0,6.0,19.0,122.0,0.0
Providencia,2020,1161.0,0.0,0.0,0.0,0.0
Providencia,2021,239948.0,233878.0,188571.0,0.0,4878.0
Providencia,2022,5802.0,9993.0,42706.0,195458.0,1.0
Providencia,2023,149.0,101.0,217.0,643.0,0.0
Pudahuel,2020,0.0,0.0,0.0,0.0,0.0
Pudahuel,2021,192590.0,183527.0,124891.0,0.0,2948.0
Pudahuel,2022,8591.0,13295.0,53366.0,133422.0,0.0
Pudahuel,2023,64.0,63.0,185.0,595.0,0.0
Puente Alto,2020,324.0,0.0,0.0,0.0,0.0
Puente Alto,2021,383620.0,365443.0,264083.0,0.0,16826.0
Puente Alto,2022,15746.0,26079.0,102808.0,281502.0,0.0
Puente Alto,2023,161.0,102.0,473.0,1511.0,0.0
Quilicura,2020,0.0,0.0,0.0,0.0,0.0
Quilicura,2021,170718.0,161334.0,109688.0,0.0,8353.0
Quilicura,2022,7879.0,12143.0,48121.0,115739.0,0.0
Quilicura,2023,56.0,43.0,140.0,511.0,0.0
Quinta Normal,2020,126.0,0.0,0.0,0.0,0.0
Quinta Normal,2021,106449.0,100733.0,67189.0,0.0,2180.0
Quinta Normal,2022,5270.0,8015.0,28988.0,70910.0,0.0
Quinta Normal,2023,44.0,31.0,106.0,252.0,0.0
Recoleta,2020,270.0,0.0,0.0,0.0,0.0
Recoleta,2021,136492.0,130180.0,90631.0,0.0,6045.0
Recoleta,2022,5658.0,8494.0,36933.0,96145.0,0.0
Recoleta,2023,54.0,33.0,110.0,286.0,0.0
Renca,2020,0.0,0.0,0.0,0.0,0.0
Renca,2021,117247.0,110620.0,70735.0,0.0,3604.0
Renca,2022,6764.0,9874.0,38632.0,76710.0,0.0
Renca,2023,36.0,28.0,70.0,256.0,0.0
San Bernardo,2020,235.0,0.0,0.0,0.0,0.0
San Bernardo,2021,232014.0,219495.0,142108.0,0.0,8265.0
San Bernardo,2022,12095.0,17973.0,70180.0,152741.0,0.0
San Bernardo,2023,64.0,39.0,207.0,682.0,0.0
San Joaquín,2020,0.0,0.0,0.0,0.0,0.0
San Joaquín,2021,92639.0,87889.0,59915.0,0.0,2955.0
San Joaquín,2022,3656.0,5912.0,25216.0,62094.0,0.0
San Joaquín,2023,35.0,15.0,79.0,184.0,0.0
San José de Maipo,2020,0.0,0.0,0.0,0.0,0.0
San José de Maipo,2021,19850.0,18836.0,12890.0,0.0,936.0
San José de Maipo,2022,945.0,1526.0,6009.0,13806.0,0.0
